i,time,id,text
11,Sat Nov 23 09:00:47 2024,29152,"🥳С Днем рождения МИФИ! 
 
Сегодня отмечает свой 82-й день рождения наша альма-матер – Национальный исследовательский ядерный университет «МИФИ».🎂 
 
С самыми теплыми пожеланиями и поздравлениями к мифистам обращается ректор МИФИ Владимир Шевченко: 
 
""Главная гордость и сила МИФИ – это люди! В университете сложился уникальный профессорско-преподавательский коллектив мирового уровня, столь же талантливы студенты-мифисты, едва ли существует область знаний или деятельности, где не проявили бы себя наши выпускники… 

Сегодня я поздравляю всех, для кого МИФИ стал местом, где интересно учиться и работать, дружить, заниматься творчеством, открывать неизведанное и искать свое призвание. Желаю мифистам никогда не останавливаться на достигнутом и всегда целеустремленно двигаться по дороге познания, а нашему родному университету желаю дальнейшего развития и процветания. Дорогу осилит идущий! С праздником, друзья!"""
12,Fri Nov 22 19:40:00 2024,29150,
13,Fri Nov 22 17:10:00 2024,29142,"♟Шахматисты МИФИ выиграли 8 этап «Игры королей» 
 
В Центральном доме шахматиста им. М. Ботвинника состоялся 8-й этап Кубка ЦФО по блицу ""Игра Королей"". Победителем турнира стала команда МИФИ во главе с заместителем директора ИИКС Валентином Климовым. 
 
Турнир ""Игра Королей"" был организован одноименным клубом (владельцы клуба - Ян Сепиашвили, Дмитрий Картвелишвили и Георгий Нагибин) и Федерацией шахмат Центрального федерального округа. 
 
🔥Турнир являлся предпоследним, 8-м этапом Кубка ЦФО по блицу 2024 года. 
 
Любителей шахмат приветствовали ректор МИФИ Владимир Шевченко, президент клуба ""Игра Королей"", президент Федерации шахмат ЦФО Ян Сепиашвили и директор турнира Георгий Нагибин. 
 
🙌С напутственными словами выступили почетные гости: первый заместитель председателя Комитета ГД по физкультуре и спорту, чемпион мира по боксу Дмитрий Пирог, капитан команды МВД и замначальника Академии управления МВД России генерал-майор полиции Олег Стефанков. 
 
🥳Поздравляем наших шахматистов с победой! 
 
Итоговое положение турнира можно посмотреть по ссылке (https://chess-results.com/tnr1064657.aspx?lan=11&art=0&rd=7)
Трансляцию турнира смотрите по ссылке (https://live.idchess.com/app/show/tournament/eyJpZCI6Njg1MSwicGFzc3dvcmQiOm51bGx9)"
14,Fri Nov 22 16:10:00 2024,29139,"Пятничная рубрика #Алфавит_МИФИста 

✉ Команда Дирекции по работе с партнерами и выпускниками выпустила «Алфавит МИФИста» — это набор из 28 открыток в обложке-раскраске, которые вместе представляют многоликий образ НИЯУ МИФИ. Это не просто буквы, это целая вселенная символов, воплощённых в уникальных иллюстрациях. 

Переходим к букве З из алфавита МИФИста: 

З — зачётная книжка – протягивается студентом как только он слышит два заветных слова «Давайте зачётку»

З — Зельдович Я.Б. – советский физик и физикохимик, один из создателей советского атомного проекта, памятник которому можно найти на Аллее нобелевских лауреатов

З - зеленая ветка метро - говорят, на ней видели новые поезда, но это не точно

Добавляйте в комментариях еще символов МИФИ на букву 🤣
Напоминаем, что автор интересного комментария получает открытку в подарок

ℹ Все остальные желающие могут приобрести открытки в кофе-поинтах МИФИ, а полный набор открыток в обложке-раскраске — в Г-210. Условия приобретения можно уточнить на стойках Atomic coffee ☕️"
15,Fri Nov 22 14:35:00 2024,29136,"🔥Пять принципов счастливой жизни и не только от наших психологов 
 
Продолжаем знакомиться с психологами и их жизненными принципами, которые они позаимствовали у психотерапевта Милтона Эриксона: 
 
💫Со всеми все окей 
💫Изменения неизбежны 
💫Люди делают наилучший выбор в данный момент 
💫В основе каждого поступка лежат позитивные намерения 
💫Человек обладает всеми ресурсами для успеха 
 
Подробнее о психологии и психологах в наших видео"
16,Fri Nov 22 14:01:00 2024,29130,"🥰Давайте узнаем о психологах МИФИ чуточку больше 
 
Благодаря им МИФИсты преодолевают трудности и достигают гармонии как с окружающим миром, так и внутри себя. Преподаватели способствуют не только усвоению знаний, но и открытию новых горизонтов для студентов. 
 
✨Коллеги, поздравляем вас с профессиональным праздником и желаем не выгорать, наполняться радостью и вдохновением каждый день. 
 
Подробнее о преподавателях кафедры психологии и психологах Психологического центра МИФИ в наших видео"
17,Fri Nov 22 13:02:00 2024,29127,"😇Сегодня отмечается День психолога, а как часто вы ходите к психологу? 
 
Если раньше людей с депрессией называли лентяями, а походы к психологу тщательно скрывали, чтобы никто не называл “психом”, то теперь ходить на психологическую сессию стало не только полезно, но и престижно. 
 
🙌Психолог может помочь разобраться с психологическими проблемами, вопросами самореализации и самоценности, преодолеть чувство одиночества, да и просто выслушать, когда вас раздражает одногруппник или коллега. 
 
В честь Дня психолога, мы поговорили с проректором МИФИ Еленой Весной, о том, как объединить психологию и науку, с какими проблемами обращаются к психологу студенты и интересно ли работать на кафедре непрофильного вуза. Читайте интервью по ссылке ниже
https://mephi.ru/press/news/23729"
18,Fri Nov 22 12:12:38 2024,29126,"Барабанная дробь…

Только что состоялось торжественное открытие памятника Борису Ванникову, ура!

Это первый в России памятник одному из главных организаторов советской атомной программы. Кроме того, 23 ноября 1942 года по его и инициативе зампредседателя ГКО Лаврентия Берии было принято постановление об организации Московского механического института боеприпасов Советом народных комиссаров СССР. Напомним, что это бывшее название МИФИ. 
 
С приветственным словом выступил ректор МИФИ Владимир Шевченко: 

Борис Ванников завершает аллею ученых в МИФИ, он представляет собой человека, которым мы бы назвали эффективным менеджером, только без кавычек. И он стоит здесь по праву и будет напоминать о том, как надо относиться к сотрудникам, к делу и как надо строить отношения с людьми, чтобы тебя уважали и ставили памятники.
 
Среди гостей присутствует и правнук героя Социалистического труда –Александр Ванников. Он активно участвует в общественной жизни города, вдохновляя молодое поколение на достижения целей, а также чтит традиции предков и с уважением относится к нашему прошлому.

Также участниками открытия стали Виктор Егорычев – заместитель директора по фундаментальным исследованиям НИЦ «Курчатовский институт», Юрий Бармаков – первый заместитель научного руководителя ВНИИА им. Духова, Юлия Янькова – заместитель генерального директора АО «Артпласт» по специальным проектам, Александр Миронов – скульптор.

#НаучныйПолк"
19,Fri Nov 22 12:09:20 2024,29125,"Торжественное открытие памятника Борису Ванникову прямо сейчас на Аллее в МИФИ ⬇️

С приветственным словом выступает ректор МИФИ Владимир Шевченко"
20,Fri Nov 22 10:00:31 2024,29120,"⚛Сегодня в преддверии дня рождения МИФИ состоится ✨открытие памятника одному из главных организаторов советской атомной программы – Борису Ванникову. ✨Он станет девятой скульптурой на Аллее нобелевских лауреатов в МИФИ. 
 
Познакомиться поближе со скульптурными композициями и узнать о том, с кем нужно посидеть перед защитой сессии, кто возил студентов на “Запорожце” и кто из нобелевских лауреатов спал в трюме после “размагничивания” кораблей – можно в нашем материале по ссылке https://mephi.ru/press/news/23727"
